alloy,Fe,Ni,Co,Cr,V,Cu,VEC,AR1,AR2,PE,Density,TermalC,MP,FI,SI,TI,M,TEC,TC,MS,MagS
Fe-Ni,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,140.0000,124.0000,1.8300,7874.0000,80.0000,1181.0000,762.4700,1562.9800,2957.4000,2.2200,11.9200,1043.0000,2.2200,0.0067
,0.9500,0.0500,0.0000,0.0000,0.0000,0.0000,8.0954,139.7616,124.0477,1.8338,7923.3110,80.5246,1207.0862,761.2620,1572.0434,2978.2689,2.1427,11.1700,1029.0649,2.1792,0.0166
,0.9000,0.1000,0.0000,0.0000,0.0000,0.0000,8.1912,139.5219,124.0956,1.8376,7972.8624,81.0517,1233.2995,760.0482,1581.1510,2999.2396,2.0651,10.8200,1015.8738,2.1406,0.0251
,0.8500,0.1500,0.0000,0.0000,0.0000,0.0000,8.2875,139.2812,124.1438,1.8415,8022.6560,81.5814,1259.6410,758.8284,1590.3031,3020.3128,1.9871,9.9100,1002.9407,2.1027,0.0254
,0.8000,0.2000,0.0000,0.0000,0.0000,0.0000,8.3843,139.0392,124.1922,1.8454,8072.6936,82.1138,1286.1116,757.6026,1599.5000,3041.4893,1.9087,11.0900,989.8446,2.0644,0.0232
,0.7500,0.2500,0.0000,0.0000,0.0000,0.0000,8.4816,138.7960,124.2408,1.8493,8122.9769,82.6487,1312.7122,756.3708,1608.7422,3062.7697,1.8299,13.6000,976.2046,2.0245,0.0214
,0.7000,0.3000,0.0000,0.0000,0.0000,0.0000,8.5793,138.5517,124.2897,1.8532,8173.5079,83.1863,1339.4437,755.1329,1618.0298,3084.1550,1.7508,12.1000,961.6580,1.9819,0.0196
,0.6700,0.3300,0.0000,0.0000,0.0000,0.0000,8.6382,138.4045,124.3191,1.8555,8203.9461,83.5101,1355.5460,754.3873,1623.6244,3097.0368,1.7031,3.5000,474.9939,1.6116,0.0418
,0.6400,0.3600,0.0000,0.0000,0.0000,0.0000,8.6972,138.2569,124.3486,1.8579,8234.4745,83.8348,1371.6959,753.6394,1629.2355,3109.9567,1.6552,1.3400,527.2672,1.6415,0.0377
,0.6350,0.3650,0.0000,0.0000,0.0000,0.0000,8.7071,138.2322,124.3536,1.8583,8239.5714,83.8891,1374.3922,753.5146,1630.1723,3112.1138,1.6472,1.3000,535.7431,1.6448,0.0370
,0.6300,0.3700,0.0000,0.0000,0.0000,0.0000,8.7170,138.2076,124.3585,1.8587,8244.6707,83.9433,1377.0898,753.3896,1631.1096,3114.2719,1.6393,1.5000,544.1486,1.6475,0.0364
,0.6000,0.4000,0.0000,0.0000,0.0000,0.0000,8.7762,138.0594,124.3881,1.8610,8275.3200,84.2694,1393.3037,752.6388,1636.7429,3127.2430,1.5912,4.0700,593.0414,1.6560,0.0326
,0.5500,0.4500,0.0000,0.0000,0.0000,0.0000,8.8754,137.8114,124.4377,1.8650,8326.6049,84.8149,1420.4341,751.3825,1646.1691,3148.9473,1.5109,7.1100,668.1610,1.6445,0.0271
,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,8.9751,137.5622,124.4876,1.8690,8378.1447,85.3632,1447.6994,750.1199,1655.6422,3170.7595,1.4301,9.6800,734.3415,1.6093,0.0223
,0.4000,0.6000,0.0000,0.0000,0.0000,0.0000,9.1760,137.0600,124.5880,1.8770,8481.9973,86.4681,1502.6388,747.5758,1674.7304,3214.7110,1.2674,11.2800,835.2228,1.4821,0.0144
